Sample Number	Date	CatchID	SpecieCaught	FishLength	AdClip	SecondClip	ScaleSamp
1	29-Jul-20	26249	Steelhead	710	N		Y
2	29-Jul-20	26260	Steelhead	500	N		Y
3	29-Jul-20	26261	Steelhead	570	N		Y
4	03-Aug-20	26327	Steelhead	480	N		Y
5	05-Aug-20	26340	Steelhead	425	N		Y
6	05-Aug-20	26344	Steelhead	420	N		Y
7	05-Aug-20	26345	Steelhead	450	N		Y
8	05-Aug-20	26346	Steelhead	505	N		Y
9	05-Aug-20	26363	Steelhead	535	N		Y
10	05-Aug-20	26372	Steelhead	425	N		Y
11	05-Aug-20	26373	Steelhead	515	N		Y
12	05-Aug-20	26374	Steelhead	435	N		Y
13	05-Aug-20	26416	Steelhead	530	N		Y
14	05-Aug-20	26419	Steelhead	660	N		Y
15	05-Aug-20	26420	Steelhead	490	N		Y
16	05-Aug-20	26421	Steelhead	435	N		Y
17	05-Aug-20	26422	Steelhead	525	N		Y
18	05-Aug-20	26431	Steelhead	630	N		Y
19	10-Aug-20	26469	Steelhead	570	N		Y
20	10-Aug-20	26472	Steelhead	540	N		Y
21	12-Aug-20	26542	Steelhead	435	N		Y
22	12-Aug-20	26560	Steelhead	475	N		Y
23	12-Aug-20	26575	Steelhead	480	N		Y
24	12-Aug-20	26577	Steelhead	480	N		Y
25	12-Aug-20	26626	Steelhead	505	N		Y
26	12-Aug-20	26653	Steelhead	485	N		Y
27	14-Aug-20	26690	Steelhead	545	N		Y
28	14-Aug-20	26717	Steelhead	440	N		Y
29	14-Aug-20	26718	Steelhead	480	N		Y
30	14-Aug-20	26742	Steelhead	460	N		Y
31	14-Aug-20	26772	Steelhead	505	N		Y
32	17-Aug-20	26791	Steelhead	430	N		Y
33	17-Aug-20	26792	Steelhead	470	N		Y
34	17-Aug-20	26817	Steelhead	470	N		Y
35	17-Aug-20	26941	Steelhead	485	N		Y
36	19-Aug-20	27135	Steelhead	450	N		Y
37	19-Aug-20	27137	Steelhead	495	N		Y
38	21-Aug-20	27295	Steelhead	720	N		Y
39	21-Aug-20	27296	Steelhead	680	N		Y
40	21-Aug-20	27297	Steelhead	660	N		Y
41	21-Aug-20	27299	Steelhead	485	N		Y
42	21-Aug-20	27300	Steelhead	540	N		Y
43	21-Aug-20	27301	Steelhead	490	N		Y
44	21-Aug-20	27332	Steelhead	485	N		Y
45	21-Aug-20	27367	Steelhead	435	N		Y
46	21-Aug-20	27432	Steelhead	535	N		Y
47	21-Aug-20	27433	Steelhead	490	N		Y
48	21-Aug-20	27509	Steelhead	435	N		Y
49	24-Aug-20	27594	Steelhead	505	N		Y
50	24-Aug-20	27652	Steelhead	590	N		Y
51	24-Aug-20	27697	Steelhead	545	N		Y
52	24-Aug-20	27698	Steelhead	565	N		Y
53	24-Aug-20	27699	Steelhead	550	N		Y
54	24-Aug-20	27726	Steelhead	505	N		Y
55	24-Aug-20	27735	Steelhead	505	N		Y
56	24-Aug-20	27736	Steelhead	420	N		Y
57	26-Aug-20	27771	Steelhead	440	N		Y
58	26-Aug-20	27772	Steelhead	440	N		Y
59	26-Aug-20	27773	Steelhead	525	N		Y
60	26-Aug-20	27774	Steelhead	550	N		Y
61	26-Aug-20	27775	Steelhead	435	N		Y
62	26-Aug-20	27832	Steelhead	620	N		Y
63	26-Aug-20	27833	Steelhead	510	N		Y
64	26-Aug-20	27834	Steelhead	465	N		Y
65	26-Aug-20	27836	Steelhead	470	N		Y
66	26-Aug-20	27837	Steelhead	560	N		Y
67	26-Aug-20	27875	Steelhead	440	N		Y
68	26-Aug-20	27919	Steelhead	420	N		Y
69	26-Aug-20	27921	Steelhead	555	N		Y
70	26-Aug-20	27958	Steelhead	560	N		Y
71	26-Aug-20	28049	Steelhead	530	N		Y
72	26-Aug-20	28051	Steelhead	415	N		Y
73	26-Aug-20	28090	Steelhead	510	N		Y
74	26-Aug-20	28091	Steelhead	565	N		Y
75	26-Aug-20	28098	Steelhead	595	N		Y
76	26-Aug-20	28099	Steelhead	600	N		Y
77	26-Aug-20	28100	Steelhead	510	N		Y
78	28-Aug-20	28120	Steelhead	440	N		Y
79	28-Aug-20	28126	Steelhead	525	N		Y
80	28-Aug-20	28127	Steelhead	605	N		Y
81	28-Aug-20	28174	Steelhead	595	N		Y
82	28-Aug-20	28211	Steelhead	655	N		Y
83	28-Aug-20	28213	Steelhead	485	N		Y
84	28-Aug-20	28235	Steelhead	460	N		Y
85	28-Aug-20	28236	Steelhead	465	N		Y
86	28-Aug-20	28246	Steelhead	430	N		Y
87	28-Aug-20	28313	Steelhead	630	N		Y
88	28-Aug-20	28314	Steelhead	465	N		Y
89	28-Aug-20	28315	Steelhead	435	N		Y
90	28-Aug-20	28333	Steelhead	470	N		Y
91	28-Aug-20	28334	Steelhead	470	N		Y
92	28-Aug-20	28335	Steelhead	560	N		Y
93	28-Aug-20	28350	Steelhead	475	N		Y
94	28-Aug-20	28363	Steelhead	430	N		Y
95	28-Aug-20	28364	Steelhead	460	N		Y
96	28-Aug-20	28365	Steelhead	485	N		Y
97	31-Aug-20	28413	Steelhead	425	N		Y
98	31-Aug-20	28477	Steelhead	445	N		Y
99	31-Aug-20	28489	Steelhead	420	N		Y
100	31-Aug-20	28492	Steelhead	585	N		Y
101	31-Aug-20	28527	Steelhead	475	N		Y
102	02-Sep-20	28550	Steelhead	525	N		Y
103	02-Sep-20	28565	Steelhead	440	N		Y
104	04-Sep-20	28680	Steelhead	415	N		Y
105	04-Sep-20	28682	Steelhead	420	N		Y
106	04-Sep-20	28683	Steelhead	430	N		Y
107	04-Sep-20	28685	Steelhead	420	N		Y
108	04-Sep-20	28711	Steelhead	435	N		Y
109	09-Sep-20	28796	Steelhead	610	N		Y
110	11-Sep-20	28867	Steelhead	510	N		Y
111	18-Sep-20	29097	Steelhead	620	N		Y
112	18-Sep-20	29113	Steelhead	610	N		Y
113	23-Sep-20	29173	Steelhead	530	N		Y
114	23-Sep-20	29189	Steelhead	415	N		Y
115	28-Sep-20	29207	Steelhead	545	N		Y
116	02-Oct-20	29248	Steelhead	555	N		Y
117	09-Oct-20	29295	Steelhead	425	N		Y
118	16-Oct-20	29317	Steelhead	605	N		Y
119	16-Oct-20	29318	Steelhead	625	N		Y
