Node label	Matching Sequences
OmyAC19ROGR_4845a	OmyAC19ROGR_4845a
	OmyAC19ROGR_4967a
	OmyAC19ROGR_5620b
	OmyAC19ROGR_4607a
	OmyAC19ROGR_5624a
	OmyAC19ROGR_4403a
	OmyAC19ROGR_5581a
	OmyJC19ROGR_0081a
	OmyJC19ROGR_0027a
	OmyJC19ROGR_0060a
	OmyJC19ROGR_0064b
	OmyJC19ROGR_0185a
	OmyJC19ROGR_0178a
	OmyJC19ROGR_0180a
	OmyAC19ROGR_5678a
	OmyAC19ROGR_5823a
	OmyAC19ROGR_5845a
	OmyAC19ROGR_5833a
	OmyAC19ROGR_5834a
	OmyAC19ROGR_6125a
	OmyAC19ROGR_5630a
	OmyAC19ROGR_5818a
	OmyJC18ROGR_0133a
	OmyJC18ROGR_0141a
	OmyJC18ROGR_0228a
	OmyJC18ROGR_0111a
	OmyJC18ROGR_0233a
	OmyJC18ROGR_0107a
	OmyJC18ROGR_0131b
	OmyJC18ROGR_0244b
	OmyJC18ROGR_0316b
	OmyJC18ROGR_0247a
	OmyJC18ROGR_0433a
	OmyJC18ROGR_0547b
	OmyJC18ROGR_0612a
	OmyJC18ROGR_0436a
	OmyJC18ROGR_0437a
	OmyJC18ROGR_0534a
	OmyJC18ROGR_0439a
	OmyJC18ROGR_0536a
	OmyJC18ROGR_0618a
	OmyJC18ROGR_0629b
	OmyJC18ROGR_1011a
	OmyJC18ROGR_0150a
	OmyJC18ROGR_0630a
	OmyJC19ROGR_0323a
	OmyJC19ROGR_0303b
	OmyJC19ROGR_0306a
	OmyJC19ROGR_0261b
	OmyJC19ROGR_0278b
	OmyJC19ROGR_0239a
	OmyJC19ROGR_0279a
	OmyJC19ROGR_0272a
	OmyJC19ROGR_0259a
	OmyJC19ROGR_0259b
	OmyJC19ROGR_0228a
	OmyJC19ROGR_0244a
	OmyJC19ROGR_0260a
OmyAC19ROGR_4928a	OmyAC19ROGR_4928a
	OmyAC19ROGR_5056a
	OmyAC19ROGR_5469a
	OmyAC19ROGR_5469b
	OmyAC19ROGR_5531a
	OmyAC19ROGR_5609a
	OmyAC19ROGR_4163a
	OmyAC19ROGR_4254a
	OmyAC19ROGR_4254b
	OmyAC19ROGR_4568a
	OmyAC19ROGR_4846a
	OmyAC19ROGR_5064a
	OmyAC19ROGR_5287a
	OmyAC19ROGR_5532a
	OmyAC19ROGR_5532b
	OmyAC19ROGR_5614a
	OmyAC19ROGR_4593a
	OmyAC19ROGR_4593b
	OmyAC19ROGR_5320a
	OmyAC19ROGR_5494a
	OmyAC19ROGR_5542a
	OmyAC19ROGR_5620a
	OmyAC19ROGR_4868a
	OmyAC19ROGR_5128a
	OmyAC19ROGR_5505a
	OmyAC19ROGR_5543a
	OmyAC19ROGR_5621a
	OmyAC19ROGR_4060a
	OmyAC19ROGR_4245a
	OmyAC19ROGR_4245b
	OmyAC19ROGR_4883a
	OmyAC19ROGR_5506a
	OmyAC19ROGR_5506b
	OmyAC19ROGR_5544a
	OmyAC19ROGR_5622a
	OmyAC19ROGR_4787a
	OmyAC19ROGR_4898a
	OmyAC19ROGR_5453a
	OmyAC19ROGR_5580a
	OmyAC19ROGR_5580b
	OmyAC19ROGR_4803a
	OmyAC19ROGR_5398a
	OmyAC19ROGR_5454a
	OmyAC19ROGR_4153a
	OmyAC19ROGR_5055a
	OmyAC19ROGR_5399a
	OmyAC19ROGR_5509a
	OmyJC19ROGR_0009a
	OmyJC19ROGR_0009b
	OmyJC19ROGR_0025a
	OmyJC19ROGR_0025b
	OmyJC19ROGR_0045a
	OmyJC19ROGR_0045b
	OmyJC19ROGR_0065a
	OmyJC19ROGR_0065b
	OmyJC19ROGR_0089a
	OmyJC19ROGR_0002a
	OmyJC19ROGR_0010a
	OmyJC19ROGR_0018a
	OmyJC19ROGR_0018b
	OmyJC19ROGR_0026a
	OmyJC19ROGR_0066a
	OmyJC19ROGR_0066b
	OmyJC19ROGR_0082a
	OmyJC19ROGR_0003a
	OmyJC19ROGR_0011b
	OmyJC19ROGR_0027b
	OmyJC19ROGR_0059a
	OmyJC19ROGR_0067a
	OmyJC19ROGR_0075a
	OmyJC19ROGR_0075b
