	late-summer	early-summer	winter	halfounder
OA19_3410a	1	0	0	0
OA19_3410b	1	0	0	0
OA19_4154a	1	0	0	0
OA19_4154b	1	0	0	0
OA19_4253a	1	0	0	0
OA19_4253b	1	0	0	0
OA19_4557a	1	0	0	0
OA19_4557b	1	0	0	0
OA19_4845a	1	0	0	0
OA19_4845b	1	0	0	0
OA19_4928a	1	0	0	0
OA19_4928b	1	0	0	0
OA19_4971a	1	0	0	0
OA19_4971b	1	0	0	0
OA19_5056a	1	0	0	0
OA19_5056b	1	0	0	0
OA19_5250a	1	0	0	0
OA19_5250b	1	0	0	0
OA19_5417a	1	0	0	0
OA19_5417b	1	0	0	0
OA19_5469a	1	0	0	0
OA19_5469b	1	0	0	0
OA19_5531a	1	0	0	0
OA19_5531b	1	0	0	0
OA19_5609a	1	0	0	0
OA19_5609b	1	0	0	0
OA19_3420a	1	0	0	0
OA19_3420b	1	0	0	0
OA19_4163a	1	0	0	0
OA19_4163b	1	0	0	0
OA19_4254a	1	0	0	0
OA19_4254b	1	0	0	0
OA19_4568a	1	0	0	0
OA19_4568b	1	0	0	0
OA19_4846a	1	0	0	0
OA19_4846b	1	0	0	0
OA19_5064a	1	0	0	0
OA19_5064b	1	0	0	0
OA19_5287a	1	0	0	0
OA19_5287b	1	0	0	0
OA19_5434a	1	0	0	0
OA19_5434b	1	0	0	0
OA19_5532a	1	0	0	0
OA19_5532b	1	0	0	0
OA19_5614a	1	0	0	0
OA19_5614b	1	0	0	0
OA19_4038a	1	0	0	0
OA19_4038b	1	0	0	0
OA19_4239a	1	0	0	0
OA19_4239b	1	0	0	0
OA19_4287a	1	0	0	0
OA19_4287b	1	0	0	0
OA19_4593a	1	0	0	0
OA19_4593b	1	0	0	0
OA19_4967a	1	0	0	0
OA19_4967b	1	0	0	0
OA19_5083a	1	0	0	0
OA19_5083b	1	0	0	0
OA19_5320a	1	0	0	0
OA19_5320b	1	0	0	0
OA19_5445a	1	0	0	0
OA19_5445b	1	0	0	0
OA19_5494a	1	0	0	0
OA19_5494b	1	0	0	0
OA19_5542a	1	0	0	0
OA19_5542b	1	0	0	0
OA19_5620a	1	0	0	0
OA19_5620b	1	0	0	0
OA19_4044a	1	0	0	0
OA19_4044b	1	0	0	0
OA19_4242a	1	0	0	0
OA19_4242b	1	0	0	0
OA19_4306a	1	0	0	0
OA19_4306b	1	0	0	0
OA19_4607a	1	0	0	0
OA19_4607b	1	0	0	0
OA19_4868a	1	0	0	0
OA19_4868b	1	0	0	0
OA19_4970a	1	0	0	0
OA19_4970b	1	0	0	0
OA19_5128a	1	0	0	0
OA19_5128b	1	0	0	0
OA19_5327a	1	0	0	0
OA19_5327b	1	0	0	0
OA19_5446a	1	0	0	0
OA19_5446b	1	0	0	0
OA19_5505a	1	0	0	0
OA19_5505b	1	0	0	0
OA19_5543a	1	0	0	0
OA19_5543b	1	0	0	0
OA19_5621a	1	0	0	0
OA19_5621b	1	0	0	0
OA19_4060a	1	0	0	0
OA19_4060b	1	0	0	0
OA19_4245a	1	0	0	0
OA19_4245b	1	0	0	0
OA19_4338a	1	0	0	0
OA19_4338b	1	0	0	0
OA19_4650a	1	0	0	0
OA19_4650b	1	0	0	0
OA19_4883a	1	0	0	0
OA19_4883b	1	0	0	0
OA19_5129a	1	0	0	0
OA19_5129b	1	0	0	0
OA19_5328a	1	0	0	0
OA19_5328b	1	0	0	0
OA19_5452a	1	0	0	0
OA19_5452b	1	0	0	0
OA19_5506a	1	0	0	0
OA19_5506b	1	0	0	0
OA19_5544a	1	0	0	0
OA19_5544b	1	0	0	0
OA19_5622a	1	0	0	0
OA19_5622b	1	0	0	0
OA19_4064a	1	0	0	0
OA19_4064b	1	0	0	0
OA19_4246a	1	0	0	0
OA19_4246b	1	0	0	0
OA19_4402a	1	0	0	0
OA19_4402b	1	0	0	0
OA19_4787a	1	0	0	0
OA19_4787b	1	0	0	0
OA19_4898a	1	0	0	0
OA19_4898b	1	0	0	0
OA19_4972a	1	0	0	0
OA19_4972b	1	0	0	0
OA19_5363a	1	0	0	0
OA19_5363b	1	0	0	0
OA19_5453a	1	0	0	0
OA19_5453b	1	0	0	0
OA19_5580a	1	0	0	0
OA19_5580b	1	0	0	0
OA19_5624a	1	0	0	0
OA19_5624b	1	0	0	0
OA19_4087a	1	0	0	0
OA19_4087b	1	0	0	0
OA19_4248a	1	0	0	0
OA19_4248b	1	0	0	0
OA19_4403a	1	0	0	0
OA19_4403b	1	0	0	0
OA19_4803a	1	0	0	0
OA19_4803b	1	0	0	0
OA19_4913a	1	0	0	0
OA19_4913b	1	0	0	0
OA19_5225a	1	0	0	0
OA19_5225b	1	0	0	0
OA19_5398a	1	0	0	0
OA19_5398b	1	0	0	0
OA19_5454a	1	0	0	0
OA19_5454b	1	0	0	0
OA19_5508a	1	0	0	0
OA19_5508b	1	0	0	0
OA19_5581a	1	0	0	0
OA19_5581b	1	0	0	0
OA19_4153a	1	0	0	0
OA19_4153b	1	0	0	0
OA19_4252a	1	0	0	0
OA19_4252b	1	0	0	0
OA19_4518a	1	0	0	0
OA19_4518b	1	0	0	0
OA19_4833a	1	0	0	0
OA19_4833b	1	0	0	0
OA19_5055a	1	0	0	0
OA19_5055b	1	0	0	0
OA19_5249a	1	0	0	0
OA19_5249b	1	0	0	0
OA19_5399a	1	0	0	0
OA19_5399b	1	0	0	0
OA19_5455a	1	0	0	0
OA19_5455b	1	0	0	0
OA19_5509a	1	0	0	0
OA19_5509b	1	0	0	0
OA19_5602a	1	0	0	0
OA19_5602b	1	0	0	0
OJ19_0001a	0	0	0	1
OJ19_0001b	0	0	0	1
OJ19_0009a	0	0	0	1
OJ19_0009b	0	0	0	1
OJ19_0017a	0	0	0	1
OJ19_0017b	0	0	0	1
OJ19_0025a	0	0	0	1
OJ19_0025b	0	0	0	1
OJ19_0033a	0	0	0	1
OJ19_0033b	0	0	0	1
OJ19_0041a	0	0	0	1
OJ19_0041b	0	0	0	1
OJ19_0045a	0	0	0	1
OJ19_0045b	0	0	0	1
OJ19_0057a	0	0	0	1
OJ19_0057b	0	0	0	1
OJ19_0065a	0	0	0	1
OJ19_0065b	0	0	0	1
OJ19_0073a	0	0	0	1
OJ19_0073b	0	0	0	1
OJ19_0081a	0	0	0	1
OJ19_0081b	0	0	0	1
OJ19_0089a	0	0	0	1
OJ19_0089b	0	0	0	1
OJ19_0002a	0	0	0	1
OJ19_0002b	0	0	0	1
OJ19_0010a	0	0	0	1
OJ19_0010b	0	0	0	1
OJ19_0018a	0	0	0	1
OJ19_0018b	0	0	0	1
OJ19_0026a	0	0	0	1
OJ19_0026b	0	0	0	1
OJ19_0034a	0	0	0	1
OJ19_0034b	0	0	0	1
OJ19_0042a	0	0	0	1
OJ19_0042b	0	0	0	1
OJ19_0058a	0	0	0	1
OJ19_0058b	0	0	0	1
OJ19_0066a	0	0	0	1
OJ19_0066b	0	0	0	1
OJ19_0074a	0	0	0	1
OJ19_0074b	0	0	0	1
OJ19_0082a	0	0	0	1
OJ19_0082b	0	0	0	1
OJ19_0090a	0	0	0	1
OJ19_0090b	0	0	0	1
OJ19_0003a	0	0	0	1
OJ19_0003b	0	0	0	1
OJ19_0011a	0	0	0	1
OJ19_0011b	0	0	0	1
OJ19_0019a	0	0	0	1
OJ19_0019b	0	0	0	1
OJ19_0027a	0	0	0	1
OJ19_0027b	0	0	0	1
OJ19_0043a	0	0	0	1
OJ19_0043b	0	0	0	1
OJ19_0051a	0	0	0	1
OJ19_0051b	0	0	0	1
OJ19_0059a	0	0	0	1
OJ19_0059b	0	0	0	1
OJ19_0067a	0	0	0	1
OJ19_0067b	0	0	0	1
OJ19_0075a	0	0	0	1
OJ19_0075b	0	0	0	1
OJ19_0083a	0	0	0	1
OJ19_0083b	0	0	0	1
OJ19_0091a	0	0	0	1
OJ19_0091b	0	0	0	1
OJ19_0004a	0	0	0	1
OJ19_0004b	0	0	0	1
OJ19_0012a	0	0	0	1
OJ19_0012b	0	0	0	1
OJ19_0020a	0	0	0	1
OJ19_0020b	0	0	0	1
OJ19_0028a	0	0	0	1
OJ19_0028b	0	0	0	1
OJ19_0036a	0	0	0	1
OJ19_0036b	0	0	0	1
OJ19_0044a	0	0	0	1
OJ19_0044b	0	0	0	1
OJ19_0052a	0	0	0	1
OJ19_0052b	0	0	0	1
OJ19_0060a	0	0	0	1
OJ19_0060b	0	0	0	1
OJ19_0068a	0	0	0	1
OJ19_0068b	0	0	0	1
OJ19_0076a	0	0	0	1
OJ19_0076b	0	0	0	1
OJ19_0084a	0	0	0	1
OJ19_0084b	0	0	0	1
OJ19_0092a	0	0	0	1
OJ19_0092b	0	0	0	1
OJ19_0005a	0	0	0	1
OJ19_0005b	0	0	0	1
OJ19_0013a	0	0	0	1
OJ19_0013b	0	0	0	1
OJ19_0021a	0	0	0	1
OJ19_0021b	0	0	0	1
OJ19_0029a	0	0	0	1
OJ19_0029b	0	0	0	1
OJ19_0037a	0	0	0	1
OJ19_0037b	0	0	0	1
OJ19_0053a	0	0	0	1
OJ19_0053b	0	0	0	1
OJ19_0061a	0	0	0	1
OJ19_0061b	0	0	0	1
OJ19_0077a	0	0	0	1
OJ19_0077b	0	0	0	1
OJ19_0085a	0	0	0	1
OJ19_0085b	0	0	0	1
OJ19_0093a	0	0	0	1
OJ19_0093b	0	0	0	1
OJ19_0014a	0	0	0	1
OJ19_0014b	0	0	0	1
OJ19_0022a	0	0	0	1
OJ19_0022b	0	0	0	1
OJ19_0038a	0	0	0	1
OJ19_0038b	0	0	0	1
OJ19_0046a	0	0	0	1
OJ19_0046b	0	0	0	1
OJ19_0054a	0	0	0	1
OJ19_0054b	0	0	0	1
OJ19_0062a	0	0	0	1
OJ19_0062b	0	0	0	1
OJ19_0078a	0	0	0	1
OJ19_0078b	0	0	0	1
OJ19_0094a	0	0	0	1
OJ19_0094b	0	0	0	1
OJ19_0007a	0	0	0	1
OJ19_0007b	0	0	0	1
OJ19_0015a	0	0	0	1
OJ19_0015b	0	0	0	1
OJ19_0023a	0	0	0	1
OJ19_0023b	0	0	0	1
OJ19_0031a	0	0	0	1
OJ19_0031b	0	0	0	1
OJ19_0047a	0	0	0	1
OJ19_0047b	0	0	0	1
OJ19_0055a	0	0	0	1
OJ19_0055b	0	0	0	1
OJ19_0063a	0	0	0	1
OJ19_0063b	0	0	0	1
OJ19_0071a	0	0	0	1
OJ19_0071b	0	0	0	1
OJ19_0079a	0	0	0	1
OJ19_0079b	0	0	0	1
OJ19_0087a	0	0	0	1
OJ19_0087b	0	0	0	1
OJ19_0008a	0	0	0	1
OJ19_0008b	0	0	0	1
OJ19_0016a	0	0	0	1
OJ19_0016b	0	0	0	1
OJ19_0024a	0	0	0	1
OJ19_0024b	0	0	0	1
OJ19_0032a	0	0	0	1
OJ19_0032b	0	0	0	1
OJ19_0040a	0	0	0	1
OJ19_0040b	0	0	0	1
OJ19_0048a	0	0	0	1
OJ19_0048b	0	0	0	1
OJ19_0056a	0	0	0	1
OJ19_0056b	0	0	0	1
OJ19_0064a	0	0	0	1
OJ19_0064b	0	0	0	1
OJ19_0072a	0	0	0	1
OJ19_0072b	0	0	0	1
OJ19_0080a	0	0	0	1
OJ19_0080b	0	0	0	1
OJ19_0095a	0	0	0	1
OJ19_0095b	0	0	0	1
OJ19_0103a	0	0	0	1
OJ19_0103b	0	0	0	1
OJ19_0111a	0	0	0	1
OJ19_0111b	0	0	0	1
OJ19_0119a	0	0	0	1
OJ19_0119b	0	0	0	1
OJ19_0127a	0	0	0	1
OJ19_0127b	0	0	0	1
OJ19_0135a	0	0	0	1
OJ19_0135b	0	0	0	1
OJ19_0139a	0	0	0	1
OJ19_0139b	0	0	0	1
OJ19_0143a	0	0	0	1
OJ19_0143b	0	0	0	1
OJ19_0151a	0	0	0	1
OJ19_0151b	0	0	0	1
OJ19_0159a	0	0	0	1
OJ19_0159b	0	0	0	1
OJ19_0167a	0	0	0	1
OJ19_0167b	0	0	0	1
OJ19_0175a	0	0	0	1
OJ19_0175b	0	0	0	1
OJ19_0183a	0	0	0	1
OJ19_0183b	0	0	0	1
OJ19_0096a	0	0	0	1
OJ19_0096b	0	0	0	1
OJ19_0104a	0	0	0	1
OJ19_0104b	0	0	0	1
OJ19_0112a	0	0	0	1
OJ19_0112b	0	0	0	1
OJ19_0120a	0	0	0	1
OJ19_0120b	0	0	0	1
OJ19_0128a	0	0	0	1
OJ19_0128b	0	0	0	1
OJ19_0136a	0	0	0	1
OJ19_0136b	0	0	0	1
OJ19_0144a	0	0	0	1
OJ19_0144b	0	0	0	1
OJ19_0152a	0	0	0	1
OJ19_0152b	0	0	0	1
OJ19_0160a	0	0	0	1
OJ19_0160b	0	0	0	1
OJ19_0168a	0	0	0	1
OJ19_0168b	0	0	0	1
OJ19_0176a	0	0	0	1
OJ19_0176b	0	0	0	1
