pop	clust1	clust2
fall	0.6471	0.3529
fall	0.4950	0.5050
fall	0.5713	0.4287
fall	0.6587	0.3413
fall	0.1757	0.8243
fall	0.4187	0.5813
fall	0.4100	0.5900
fall	0.7100	0.2900
fall	0.3663	0.6337
fall	0.3863	0.6137
fall	0.6102	0.3898
fall	0.4583	0.5417
fall	0.6835	0.3165
fall	0.4754	0.5246
fall	0.3653	0.6347
fall	0.5483	0.4517
fall	0.4998	0.5002
fall	0.7565	0.2435
fall	0.6158	0.3842
fall	0.4047	0.5953
fall	0.3804	0.6196
fall	0.5813	0.4187
fall	0.3713	0.6287
fall	0.6325	0.3675
fall	0.3696	0.6304
fall	0.5148	0.4852
fall	0.5952	0.4048
fall	0.5798	0.4202
fall	0.5123	0.4877
fall	0.3405	0.6595
fall	0.5690	0.4310
fall	0.4720	0.5280
fall	0.5418	0.4582
fall	0.3626	0.6374
fall	0.5700	0.4300
fall	0.5890	0.4110
fall	0.4425	0.5575
fall	0.2896	0.7104
fall	0.5291	0.4709
fall	0.3791	0.6209
fall	0.5795	0.4205
fall	0.2443	0.7557
fall	0.5581	0.4419
fall	0.5992	0.4008
fall	0.3952	0.6048
fall	0.5610	0.4390
fall	0.6522	0.3478
fall	0.6527	0.3473
fall	0.6339	0.3661
fall	0.6255	0.3745
fall	0.2456	0.7544
fall	0.2215	0.7785
fall	0.6477	0.3523
fall	0.5577	0.4423
fall	0.5652	0.4348
fall	0.4416	0.5584
fall	0.7057	0.2943
fall	0.3041	0.6959
fall	0.6455	0.3545
fall	0.5045	0.4955
fall	0.5442	0.4558
fall	0.5695	0.4305
fall	0.4913	0.5087
fall	0.5477	0.4523
fall	0.6398	0.3602
fall	0.4268	0.5732
fall	0.6744	0.3256
fall	0.4636	0.5364
fall	0.4735	0.5265
fall	0.6396	0.3604
fall	0.5898	0.4102
fall	0.6051	0.3949
fall	0.4772	0.5228
fall	0.5532	0.4468
fall	0.4962	0.5038
fall	0.5754	0.4246
fall	0.1441	0.8559
fall	0.6306	0.3694
fall	0.5477	0.4523
fall	0.2325	0.7675
fall	0.3942	0.6058
fall	0.7854	0.2146
fall	0.5946	0.4054
fall	0.5350	0.4650
fall	0.6043	0.3957
fall	0.5167	0.4833
fall	0.6186	0.3814
halfpounder	0.2043	0.7957
halfpounder	0.5649	0.4351
halfpounder	0.1781	0.8219
halfpounder	0.7820	0.2180
halfpounder	0.6002	0.3998
halfpounder	0.5952	0.4048
halfpounder	0.4714	0.5286
halfpounder	0.4810	0.5190
halfpounder	0.4601	0.5399
halfpounder	0.4234	0.5766
halfpounder	0.6489	0.3511
halfpounder	0.6090	0.3910
halfpounder	0.6402	0.3598
halfpounder	0.3430	0.6570
halfpounder	0.5390	0.4610
halfpounder	0.3967	0.6033
halfpounder	0.6807	0.3193
halfpounder	0.4358	0.5642
halfpounder	0.1829	0.8171
halfpounder	0.4655	0.5345
halfpounder	0.5402	0.4598
halfpounder	0.4722	0.5278
halfpounder	0.3378	0.6622
halfpounder	0.6150	0.3850
halfpounder	0.4588	0.5412
halfpounder	0.3349	0.6651
halfpounder	0.6014	0.3986
halfpounder	0.6314	0.3686
halfpounder	0.4814	0.5186
halfpounder	0.5250	0.4750
halfpounder	0.7081	0.2919
halfpounder	0.6265	0.3735
halfpounder	0.6907	0.3093
halfpounder	0.6897	0.3103
halfpounder	0.5697	0.4303
halfpounder	0.7286	0.2714
halfpounder	0.4562	0.5438
halfpounder	0.5248	0.4752
halfpounder	0.2398	0.7602
halfpounder	0.6552	0.3448
halfpounder	0.6380	0.3620
halfpounder	0.4272	0.5728
halfpounder	0.4885	0.5115
halfpounder	0.5992	0.4008
halfpounder	0.5609	0.4391
halfpounder	0.6837	0.3163
halfpounder	0.6159	0.3841
halfpounder	0.5847	0.4153
halfpounder	0.5405	0.4595
halfpounder	0.4770	0.5230
halfpounder	0.2897	0.7103
halfpounder	0.6747	0.3253
halfpounder	0.5312	0.4688
halfpounder	0.4418	0.5582
halfpounder	0.3616	0.6384
halfpounder	0.4862	0.5138
halfpounder	0.7142	0.2858
halfpounder	0.6381	0.3619
halfpounder	0.5523	0.4477
halfpounder	0.4537	0.5463
halfpounder	0.6025	0.3975
halfpounder	0.6342	0.3658
halfpounder	0.5580	0.4420
halfpounder	0.4814	0.5186
halfpounder	0.6379	0.3621
halfpounder	0.5740	0.4260
halfpounder	0.5514	0.4486
halfpounder	0.5838	0.4162
halfpounder	0.5504	0.4496
halfpounder	0.4394	0.5606
halfpounder	0.7530	0.2470
halfpounder	0.6180	0.3820
