pop	clust1	clust2	clust3
fall	0.4975	0.1247	0.3778
fall	0.5755	0.2635	0.1610
fall	0.3575	0.1888	0.4537
fall	0.6884	0.1009	0.2107
fall	0.0807	0.8494	0.0699
fall	0.1692	0.4495	0.3813
fall	0.1818	0.4307	0.3875
fall	0.2422	0.0906	0.6672
fall	0.2232	0.5398	0.2369
fall	0.3848	0.4785	0.1368
fall	0.1840	0.1643	0.6517
fall	0.3738	0.3778	0.2484
fall	0.2659	0.1119	0.6222
fall	0.2320	0.3525	0.4155
fall	0.2770	0.5412	0.1817
fall	0.3076	0.2266	0.4658
fall	0.6241	0.2672	0.1087
fall	0.5682	0.0662	0.3656
fall	0.1520	0.1518	0.6962
fall	0.4551	0.4391	0.1058
fall	0.3611	0.4842	0.1547
fall	0.1875	0.1924	0.6201
fall	0.2246	0.5007	0.2747
fall	0.5005	0.1305	0.3690
fall	0.1719	0.5550	0.2731
fall	0.2975	0.2695	0.4329
fall	0.3335	0.1718	0.4946
fall	0.5411	0.1931	0.2659
fall	0.5534	0.2435	0.2031
fall	0.2400	0.5677	0.1923
fall	0.2847	0.2030	0.5122
fall	0.4810	0.3255	0.1935
fall	0.4281	0.2419	0.3300
fall	0.2148	0.5695	0.2157
fall	0.5380	0.2027	0.2593
fall	0.2114	0.1642	0.6244
fall	0.1311	0.3621	0.5068
fall	0.1376	0.6513	0.2112
fall	0.6472	0.2092	0.1437
fall	0.3263	0.5019	0.1718
fall	0.5820	0.1710	0.2470
fall	0.1282	0.7565	0.1153
fall	0.6467	0.1787	0.1746
fall	0.4474	0.1563	0.3964
fall	0.1883	0.4997	0.3120
fall	0.2871	0.2315	0.4813
fall	0.1897	0.1195	0.6908
fall	0.5589	0.1131	0.3280
fall	0.3904	0.1465	0.4632
fall	0.7620	0.1127	0.1253
fall	0.1255	0.7461	0.1285
fall	0.1090	0.7876	0.1034
fall	0.2731	0.1301	0.5968
fall	0.5237	0.2159	0.2604
fall	0.3031	0.2038	0.4930
fall	0.1855	0.3667	0.4478
fall	0.0991	0.0845	0.8164
fall	0.0825	0.6118	0.3057
fall	0.2594	0.1267	0.6139
fall	0.1531	0.2800	0.5669
fall	0.5123	0.2245	0.2632
fall	0.3414	0.2091	0.4495
fall	0.2845	0.3469	0.3687
fall	0.6123	0.2057	0.1821
fall	0.4251	0.1358	0.4392
fall	0.2299	0.4282	0.3419
fall	0.1754	0.1320	0.6925
fall	0.3490	0.3499	0.3012
fall	0.2551	0.3228	0.4220
fall	0.6906	0.1181	0.1913
fall	0.2546	0.1823	0.5631
fall	0.4337	0.1501	0.4162
fall	0.4297	0.3375	0.2329
fall	0.5884	0.2062	0.2053
fall	0.4445	0.3013	0.2543
fall	0.5270	0.1818	0.2912
fall	0.0568	0.8920	0.0512
fall	0.7402	0.1140	0.1459
fall	0.5326	0.2161	0.2513
fall	0.1122	0.7665	0.1213
fall	0.2986	0.4600	0.2415
fall	0.1652	0.0574	0.7774
fall	0.5158	0.1469	0.3373
fall	0.2869	0.2311	0.4820
fall	0.5044	0.1680	0.3276
fall	0.5070	0.2417	0.2513
fall	0.5122	0.1460	0.3418
halfpounder	0.1118	0.8163	0.0719
halfpounder	0.3759	0.1996	0.4246
halfpounder	0.0887	0.8518	0.0594
halfpounder	0.3506	0.0561	0.5933
halfpounder	0.6146	0.1745	0.2110
halfpounder	0.4976	0.1713	0.3311
halfpounder	0.5815	0.2719	0.1466
halfpounder	0.3890	0.3349	0.2762
halfpounder	0.3201	0.3755	0.3044
halfpounder	0.2690	0.4467	0.2843
halfpounder	0.3509	0.1513	0.4978
halfpounder	0.3286	0.1685	0.5028
halfpounder	0.3543	0.1315	0.5142
halfpounder	0.1946	0.5888	0.2166
halfpounder	0.3009	0.2551	0.4439
halfpounder	0.2853	0.4588	0.2558
halfpounder	0.2936	0.1035	0.6029
halfpounder	0.2703	0.4140	0.3157
halfpounder	0.0908	0.8359	0.0733
halfpounder	0.1396	0.3577	0.5027
halfpounder	0.4765	0.2357	0.2878
halfpounder	0.3164	0.3157	0.3679
halfpounder	0.2078	0.5921	0.2002
