pop	clust1	clust2	clust3	clust4
fall	0.2952	0.0542	0.2169	0.4337
fall	0.3914	0.1513	0.0725	0.3848
fall	0.2873	0.0942	0.3105	0.3080
fall	0.7474	0.0396	0.0791	0.1340
fall	0.0334	0.8764	0.0370	0.0531
fall	0.1601	0.3803	0.3466	0.1130
fall	0.1263	0.3254	0.3404	0.2078
fall	0.1136	0.0416	0.6309	0.2139
fall	0.1815	0.4764	0.1689	0.1732
fall	0.1985	0.3998	0.0762	0.3255
fall	0.1783	0.0873	0.6109	0.1236
fall	0.2365	0.2701	0.1427	0.3508
fall	0.1406	0.0497	0.4732	0.3365
fall	0.1273	0.2396	0.3099	0.3232
fall	0.1437	0.4787	0.1197	0.2579
fall	0.2519	0.1175	0.3935	0.2371
fall	0.4056	0.1753	0.0489	0.3702
fall	0.3055	0.0291	0.2090	0.4564
fall	0.0787	0.0762	0.7323	0.1128
fall	0.2722	0.3683	0.0564	0.3030
fall	0.3017	0.3925	0.0891	0.2167
fall	0.1471	0.1071	0.5914	0.1543
fall	0.1367	0.4035	0.2285	0.2314
fall	0.4776	0.0593	0.2281	0.2350
fall	0.0872	0.4999	0.2325	0.1804
fall	0.1453	0.1504	0.3710	0.3333
fall	0.1293	0.0863	0.3788	0.4057
fall	0.5305	0.0891	0.1361	0.2442
fall	0.3818	0.1165	0.0998	0.4018
fall	0.1171	0.5054	0.1538	0.2238
fall	0.3249	0.1027	0.3733	0.1991
fall	0.3730	0.2145	0.1174	0.2951
fall	0.5366	0.1288	0.1533	0.1813
fall	0.1703	0.5133	0.1392	0.1772
fall	0.5369	0.1040	0.1217	0.2375
fall	0.1162	0.0829	0.6171	0.1838
fall	0.0940	0.2513	0.5564	0.0983
fall	0.0890	0.6137	0.1673	0.1300
fall	0.2848	0.1093	0.0710	0.5348
fall	0.2296	0.4361	0.0963	0.2380
fall	0.4051	0.0803	0.1350	0.3796
fall	0.0927	0.7521	0.0713	0.0839
fall	0.2716	0.0832	0.0933	0.5519
fall	0.4907	0.0746	0.2201	0.2146
fall	0.1841	0.4496	0.2311	0.1351
fall	0.4209	0.1267	0.2830	0.1694
fall	0.1550	0.0590	0.6471	0.1389
fall	0.1988	0.0543	0.1998	0.5471
fall	0.2823	0.0686	0.2934	0.3557
fall	0.3547	0.0509	0.0577	0.5368
fall	0.0814	0.7504	0.0807	0.0875
