Sample	run	year	Date	Origin
OmyAC19ROGR_3410	fall	2019	2019-07-26T00:00:00Z	NOR
OmyAC19ROGR_4154	fall	2019	2019-08-14T00:00:00Z	NOR
OmyAC19ROGR_4253	fall	2019	2019-08-16T00:00:00Z	NOR
OmyAC19ROGR_4557	fall	2019	2019-08-23T00:00:00Z	NOR
OmyAC19ROGR_4845	fall	2019	2019-09-04T00:00:00Z	NOR
OmyAC19ROGR_4928	fall	2019	2019-09-06T00:00:00Z	NOR
OmyAC19ROGR_4971	fall	2019	2019-09-06T00:00:00Z	NOR
OmyAC19ROGR_5056	fall	2019	2019-09-06T00:00:00Z	NOR
OmyAC19ROGR_5250	fall	2019	2019-09-09T00:00:00Z	NOR
OmyAC19ROGR_5417	fall	2019	2019-09-09T00:00:00Z	NOR
OmyAC19ROGR_5469	fall	2019	2019-09-11T00:00:00Z	NOR
OmyAC19ROGR_5531	fall	2019	2019-09-11T00:00:00Z	NOR
OmyAC19ROGR_5609	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_3420	fall	2019	2019-07-26T00:00:00Z	NOR
OmyAC19ROGR_4163	fall	2019	2019-08-14T00:00:00Z	NOR
OmyAC19ROGR_4254	fall	2019	2019-08-16T00:00:00Z	NOR
OmyAC19ROGR_4568	fall	2019	2019-08-23T00:00:00Z	NOR
OmyAC19ROGR_4846	fall	2019	2019-09-04T00:00:00Z	NOR
OmyAC19ROGR_5064	fall	2019	2019-09-06T00:00:00Z	NOR
OmyAC19ROGR_5287	fall	2019	2019-09-09T00:00:00Z	NOR
OmyAC19ROGR_5434	fall	2019	2019-09-09T00:00:00Z	NOR
OmyAC19ROGR_5532	fall	2019	2019-09-11T00:00:00Z	NOR
OmyAC19ROGR_5614	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_4038	fall	2019	2019-08-14T00:00:00Z	NOR
OmyAC19ROGR_4239	fall	2019	2019-08-16T00:00:00Z	NOR
OmyAC19ROGR_4287	fall	2019	2019-08-19T00:00:00Z	NOR
OmyAC19ROGR_4593	fall	2019	2019-08-26T00:00:00Z	NOR
OmyAC19ROGR_4967	fall	2019	2019-09-06T00:00:00Z	NOR
OmyAC19ROGR_5083	fall	2019	2019-09-06T00:00:00Z	NOR
OmyAC19ROGR_5320	fall	2019	2019-09-09T00:00:00Z	NOR
OmyAC19ROGR_5445	fall	2019	2019-09-11T00:00:00Z	NOR
OmyAC19ROGR_5494	fall	2019	2019-09-11T00:00:00Z	NOR
OmyAC19ROGR_5542	fall	2019	2019-09-11T00:00:00Z	NOR
OmyAC19ROGR_5620	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_4044	fall	2019	2019-08-14T00:00:00Z	NOR
OmyAC19ROGR_4242	fall	2019	2019-08-16T00:00:00Z	NOR
OmyAC19ROGR_4306	fall	2019	2019-08-19T00:00:00Z	NOR
OmyAC19ROGR_4607	fall	2019	2019-08-26T00:00:00Z	NOR
OmyAC19ROGR_4868	fall	2019	2019-09-04T00:00:00Z	NOR
OmyAC19ROGR_4970	fall	2019	2019-09-06T00:00:00Z	NOR
OmyAC19ROGR_5128	fall	2019	2019-09-06T00:00:00Z	NOR
OmyAC19ROGR_5327	fall	2019	2019-09-09T00:00:00Z	NOR
OmyAC19ROGR_5446	fall	2019	2019-09-11T00:00:00Z	NOR
OmyAC19ROGR_5505	fall	2019	2019-09-11T00:00:00Z	NOR
OmyAC19ROGR_5543	fall	2019	2019-09-11T00:00:00Z	NOR
OmyAC19ROGR_5621	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_4060	fall	2019	2019-08-14T00:00:00Z	NOR
OmyAC19ROGR_4245	fall	2019	2019-08-16T00:00:00Z	NOR
OmyAC19ROGR_4338	fall	2019	2019-08-21T00:00:00Z	NOR
